PeXrefScanner report for C:\servers\scum\SCUM\Binaries\Win64\SCUMServer.exe
ImageBase=0x140000000
Searched strings:
  [UTF-16] "Player must be developer" @ VA 0x1459550e0
  [UTF-16] "Not authorized to execute command" @ VA 0x145955180
  [UTF-16] "Command is on cooldown. Try again later." @ VA 0x145955120
  [UTF-16] "Command is disabled in shipping build" @ VA 0x145955090

=== XREF: [UTF-16] "Command is on cooldown. Try again later." at VA 0x1418c7c75 (file offset 0x18c7275) ===
  0x1418c7ae5  xor [rax-0x75], cl
  0x1418c7ae8  pop rsp
  0x1418c7ae9  and al, 0x38
  0x1418c7aeb  add rsp, 0x20
  0x1418c7aef  pop rsi
  0x1418c7af0  ret
  0x1418c7af1  int3
  0x1418c7af2  int3
  0x1418c7af3  int3
  0x1418c7af4  int3
  0x1418c7af5  int3
  0x1418c7af6  int3
  0x1418c7af7  int3
  0x1418c7af8  int3
  0x1418c7af9  int3
  0x1418c7afa  int3
  0x1418c7afb  int3
  0x1418c7afc  int3
  0x1418c7afd  int3
  0x1418c7afe  int3
  0x1418c7aff  int3
  0x1418c7b00  mov [rsp+0x08], rbx
  0x1418c7b05  mov [rsp+0x10], rsi
  0x1418c7b0a  push rdi
  0x1418c7b0b  sub rsp, 0x20
  0x1418c7b0f  mov rbx, [rcx]
  0x1418c7b12  mov rsi, rdx
  0x1418c7b15  movsxd rdi, dword ptr [rbx+0x08]
  0x1418c7b19  lea eax, [rdi+0x01]
  0x1418c7b1c  mov [rbx+0x08], eax
  0x1418c7b1f  cmp eax, [rbx+0x0C]
  0x1418c7b22  jle 0x00000001418C7B2E
  0x1418c7b24  mov edx, edi
  0x1418c7b26  mov rcx, rbx
  0x1418c7b29  call 0x0000000140918DA0
  0x1418c7b2e  mov rax, [rsi]
  0x1418c7b31  mov rcx, rdi
  0x1418c7b34  shl rcx, 0x04
  0x1418c7b38  add rcx, [rbx]
  0x1418c7b3b  mov [rcx], rax
  0x1418c7b3e  mov rax, [rsi+0x08]
  0x1418c7b42  mov [rcx+0x08], rax
  0x1418c7b46  test rax, rax
  0x1418c7b49  jz 0x00000001418C7B4E
  0x1418c7b4b  inc [rax+0x08]
  0x1418c7b4e  mov rbx, [rsp+0x30]
  0x1418c7b53  mov al, 0x01
  0x1418c7b55  mov rsi, [rsp+0x38]
  0x1418c7b5a  add rsp, 0x20
  0x1418c7b5e  pop rdi
  0x1418c7b5f  ret
  0x1418c7b60  push rbx
  0x1418c7b62  push rbp
  0x1418c7b63  push rsi
  0x1418c7b64  push rdi
  0x1418c7b65  push r15
  0x1418c7b67  sub rsp, 0x40
  0x1418c7b6b  mov rax, [0x00000001473D54D8]
  0x1418c7b72  xor rax, rsp
  0x1418c7b75  mov [rsp+0x28], rax
  0x1418c7b7a  mov rdi, r8
  0x1418c7b7d  mov r15, rdx
  0x1418c7b80  mov rsi, rcx
  0x1418c7b83  test rdx, rdx
  0x1418c7b86  jz 0x00000001418C7CF7
  0x1418c7b8c  mov rax, [rdx]
  0x1418c7b8f  mov rcx, rdx
  0x1418c7b92  call [rax+0x160]
